brokerage,company_number,company_name,CompanyName, CompanyNumber,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
AIBL re Finch Commercial Insurance Brokers Limited (Southampton) CANX,4251300,FINCH COMMERCIAL INSURANCE BROKERS LTD,FINCH COMMERCIAL INSURANCE BROKERS LTD,4251300,READING,BERKSHIRE,UNITED KINGDOM,RG5 3JP,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
Verlingue (Egham),4024377,AAA INSURANCE & REINSURANCE BROKERS LIMITED,VERLINGUE LIMITED,4024377,REDHILL,SURREY,UNITED KINGDOM,RH1 6YS,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Commercial (Reading),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher Services (UK) Ltd,1193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,1193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Commercial (Bristol),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
AIBL re Finch Commercial Insurance Brokers Limited (Reading),4251300,FINCH COMMERCIAL INSURANCE BROKERS LTD,FINCH COMMERCIAL INSURANCE BROKERS LTD,4251300,READING,BERKSHIRE,UNITED KINGDOM,RG5 3JP,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
M & N Insurance Services Ltd (Advantage),763677,"TOKIO MARINE & NICHIDO FIRE INSURANCE CO., LTD. LONDON BRANCH",M & N INSURANCE SERVICE LIMITED,763677,,,,NW4 3NL,Private Limited Company,Active,United Kingdom,65110 - Life insurance,65120 - Non-life insurance,,
J M Glendinning (Insurance Brokers) Ltd (Guiseley),8814614,J.M. GLENDINNING (INSURANCE BROKERS) CORPORATE LIMITED,J.M. GLENDINNING (INSURANCE BROKERS) CORPORATE LIMITED,8814614,LEEDS,,,LS20 9LT,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Towergate (London North),4043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,4043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Towergate (Stoke),4043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,4043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Hamilton Leigh Ltd,3833626,HAMILTON LEONARD INSURANCE BROKERS LIMITED,HAMILTON LEIGH LIMITED,3833626,,,,EC1Y 2AB,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
MFL Insurance Group Ltd  (Premier),2817700,MFL INSURANCE GROUP LTD,MFL INSURANCE GROUP LTD,2817700,MANCHESTER,LANCASHIRE,,M1 3DZ,Private Limited Company,Active,United Kingdom,96090 - Other service activities n.e.c.,,,
GS Group,14761910,LITTLENLARGE.COM LIMITED,GS GROUP LIMITED,14761910,,,,CM3 6JE,,,,,,,
Towergate (Taunton),4043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,4043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Higos Insurance Services Ltd,2667978,HIGOS INSURANCE SERVICES LIMITED,HIGOS INSURANCE SERVICES LIMITED,2667978,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Thomas Carroll Private Clients Ltd CANX,4072637,"THOMAS, CARROLL PRIVATE CLIENTS LIMITED","THOMAS, CARROLL PRIVATE CLIENTS LIMITED",4072637,CAERPHILLY,,,CF83 1XX,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
MacDonald Group,SC115785,MACDONALD REID SCOTT INSURANCE BROKERS LIMITED,MACDONALD REID SCOTT INSURANCE BROKERS LIMITED,SC115785,,,,G4 9XA,,,,,,,
Greenwood Moreland Insurance Brokers Ltd t.a Greenwood Moreland (Premier),SC268105,GREENWOOD INSURANCE CONSULTANTS LTD.,GREENWOOD INSURANCE CONSULTANTS LTD.,SC268105,HAMILTON,,SCOTLAND,ML3 6JA,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Abbey Bond Lovis Ltd,599387,ABBEY BOND LOVIS LIMITED,ABBEY BOND LOVIS LIMITED,599387,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Alan R Mackay & Co Ltd ta Mackay Corporate Insurance Brokers (Brokerbility),SC114821,ALAN R. MACKAY & COMPANY LIMITED,ALAN R. MACKAY & COMPANY LIMITED,SC114821,"38 MILLER ROAD, AYR",AYRSHIRE,,KA7 2AY,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,,
Lawrence Fraser Brokers,8288445,LAWRENCE FRASER BROKERS LIMITED,LAWRENCE FRASER BROKERS LIMITED,8288445,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,66290 - Other activities auxiliary to insurance and pension funding,,,
R A Cowen & Partners Ltd,1102951,DAVID ROBERTS & PARTNERS (INSURANCE BROKERS) LIMITED,R.A. COWEN & PARTNERS LIMITED,1102951,MANSFIELD,NOTTS,,NG18 1EU,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,,
Spence (Insurance Services) Ltd,SC124134,SPENCE (INSURANCE SERVICES) LTD.,SPENCE (INSURANCE SERVICES) LTD.,SC124134,BATHGATE,WEST LOTHIAN,,EH48 2TQ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
J Hatty & Co,NI058903,BRIAN JOHNSTON & CO (INSURANCE BROKERS) LIMITED,HATTY LIMITED,NI058903,BANGOR,COUNTY DOWN,NORTHERN IRELAND,BT20 4LE,Private Limited Company,Active,United Kingdom,66290 - Other activities auxiliary to insurance and pension funding,,,
Marsh Commercial (Kirkwall),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Commercial (Oban),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Commercial (Dundee),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Towergate (Leicester),4043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,4043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Cox Mahon Limited,3270697,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,COX MAHON LIMITED,3270697,LONDON,,,SW1A 1NS,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Ten Insurance Services Limited,5225049,TEN INSURANCE SERVICES LIMITED,TEN INSURANCE SERVICES LIMITED,5225049,STOCKPORT,CHESHIRE,UNITED KINGDOM,SK1 1TD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Richmond House Insurance Brokers Limited (Hedron Network),1262851,RICHMOND HOUSE INSURANCE BROKERS LIMITED,RICHMOND HOUSE INSURANCE BROKERS LIMITED,1262851,BALDOCK,,ENGLAND,SG7 6AZ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (IOM),1193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,1193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Lloyd & Whyte Ltd,5076451,LLOYD & WHYTE (SOUTH WEST) LIMITED,LLOYD & WHYTE (INSURANCE BROKERS) LIMITED,5076451,,,,TA2 6AA,,,,,,,
Hettle Andrews & Associates Ltd,4728481,HETTLE ANDREWS & ASSOCIATES LIMITED,HETTLE ANDREWS & ASSOCIATES LIMITED,4728481,BIRMINGHAM,,,B1 2LP,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
G A Hinks & Co Limited (Premier),1392638,J.M. GLENDINNING (INSURANCE BROKERS) NORTH YORKSHIRE LIMITED,G.A. HINKS & CO. LIMITED,1392638,EAST YORKSHIRE,,,HU2 8JU,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Alan Boswell Insurance Advisors (Peterborough),1329091,ALAN BOSWELL INSURANCE ADVISERS LIMITED,ALAN BOSWELL INSURANCE ADVISERS LIMITED,1329091,NORWICH,,ENGLAND,NR1 1RE,Private Limited Company,Active,United Kingdom,99999 - Dormant Company,,,
McClarrons Limited (Premier),1171712,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,MCCLARRONS LIMITED,1171712,MALTON,NORTH YORKSHIRE,,YO17 7LP,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,66220 - Activities of insurance agents and brokers,,
Riskworks Business Services Ltd (Hedron Network),3778537,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),RISKWORKS BUSINESS SERVICES LIMITED,3778537,MACCLESFIELD,CHESHIRE,UNITED KINGDOM,SK10 1BX,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
OLD Insurefirst Limited T/A Bush And Associates,9382627,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,INSUREFIRST LIMITED,9382627,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Lockton Companies LLP (Private Clients),OC353198,LOCKTON EDGE INSURANCE BROKERS GMBH,LOCKTON COMPANIES LLP,OC353198,LONDON,,,EC3A 7AG,Limited Liability Partnership,Active,United Kingdom,None Supplied,,,
Griffiths & Armour (Liverpool),3124380,GRIFFITHS & ARMOUR INSURANCE BROKERS LIMITED,GRIFFITHS & ARMOUR INSURANCE BROKERS LIMITED,3124380,LIVERPOOL,,UNITED KINGDOM,L3 1BG,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Rollinson Smith & Company Limited (Premier),1157096,ROLLINSON SMITH AND COMPANY LIMITED,ROLLINSON SMITH AND COMPANY LIMITED,1157096,TELFORD,SHROPSHIRE,,TF1 7ET,Private Limited Company,Active,United Kingdom,65110 - Life insurance,65120 - Non-life insurance,,
Arthur J Gallagher (UK) Ltd (Bristol),1193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,1193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Stanhope Cooper,5663825,STANHOPE COOPER INSURANCE BROKERS LIMITED,STANHOPE COOPER INSURANCE BROKERS LIMITED,5663825,LONDON,,UNITED KINGDOM,WC2B 5AH,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Rees Astley Insurance Brokers Limited (Cleo) Shrewsbury,6452632,REES ASTLEY INSURANCE BROKERS LIMITED,REES ASTLEY INSURANCE BROKERS LIMITED,6452632,,,,SY23 2JN,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Bennett Christmas Insurance Brokers Ltd (Premier),5402688,BENNETT CHRISTMAS INSURANCE BROKERS LTD,BENNETT CHRISTMAS INSURANCE BROKERS LTD,5402688,KNARESBOROUGH,ENGLAND,ENGLAND,HG5 8PJ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Clegg Gifford & Co Ltd,2838391,CLEGG GIFFORD & CO LIMITED,CLEGG GIFFORD & CO LIMITED,2838391,LONDON,,,EC3N 1NT,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Hiscox Private Client,2837811,PROGRESSIVE INSURANCE BROKERS (PRIVATE) LIMITED,HISCOX PLC,2837811,LONDON,,UNITED KINGDOM,EC2N 4BQ,Public Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
One Broker (Cambridge) Ltd (Willis Network),1149934,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),ONE BROKER (CAMBRIDGE) LTD,1149934,NORWICH,,ENGLAND,NR4 6DJ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
C Tarleton Hodgson & Son Ltd,1650142,THOMAS COOK & SON INSURANCE BROKERS LIMITED,HODGSON INSURANCE MANAGEMENT LIMITED,1650142,,,,CV47 7SL,,,,,,,
James Hallam Ltd t.a Hallam Burgoyne,1632840,HALLAM GREEN INSURANCE SERVICES LIMITED,JAMES HALLAM LIMITED,1632840,DORKING,SURREY,,RH4 2HF,Private Limited Company,Active,United Kingdom,65110 - Life insurance,65120 - Non-life insurance,,
CIC Insurance Services Ltd,2028146,C I C INSURANCE SERVICES LIMITED,C I C INSURANCE SERVICES LIMITED,2028146,COOKHAM BERKSHIRE,,,SL6 9BT,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
JPM Insurance Advisers Ltd (Hedron Network),5633018,JPM INSURANCE ADVISERS LIMITED,JPM INSURANCE ADVISERS LIMITED,5633018,STOURBRIDGE,WEST MIDLANDS,,DY8 1LU,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
PIB Risk Services Ltd t.a PIB Insurance Brokers (Nottingham),2682789,PIB RISK SERVICES LIMITED,PIB RISK SERVICES LIMITED,2682789,RETFORD,NOTTINGHAMSHIRE,,DN22 7SW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Private Clients (Edinburgh),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Southampton),1193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,1193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Southall Harries Ltd (Hedron Network),5817148,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),SOUTHALL HARRIES LIMITED,5817148,LICHFIELD,STAFFORDSHIRE,UNITED KINGDOM,WS13 6TU,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Walter A Wright Insurance Broker Ltd,1326746,WALTER A WRIGHT INSURANCE BROKERS LIMITED,WALTER A WRIGHT INSURANCE BROKERS LIMITED,1326746,NEWCASTLE UPON TYNE,,,NE3 1TX,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Butterworth Spengler South West Ltd,3433998,BUTTERWORTH SPENGLER SOUTH WEST LIMITED,BUTTERWORTH SPENGLER SOUTH WEST LIMITED,3433998,LEEDS,,ENGLAND,LS20 9LT,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
UKGlobal Broking Group Limited,12293759,UKGLOBAL COMMERCIAL INSURANCE BROKERS LIMITED,UKGLOBAL COMMERCIAL INSURANCE BROKERS LIMITED,12293759,MANCHESTER,,ENGLAND,M15 4PS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Gauntlet Risk Management Ltd (Willis Network),3726095,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD UK BRANCH,GAUNTLET RISK MANAGEMENT LIMITED,3726095,LEEDS,,ENGLAND,LS14 6UF,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
County Insurance Consultants Ltd t/a Rawlins Insurance,4787941,COUNTY INSURANCE CONSULTANTS LIMITED,COUNTY INSURANCE CONSULTANTS LIMITED,4787941,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Ellis David Ltd (Hedron Network),5521671,JW ELLISON (INSURANCE BROKERS) LIMITED,ELLIS DAVID LIMITED,5521671,LONDON,,,N1 8LY,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Arthur J Gallagher (UK) Ltd (Belfast(G)),1193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,1193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Willis & Company (Insurance Brokers) Ltd (Cleo),NI032004,CIS PARTNERSHIP LTD IN LIMITED PARTNERSHIP WITH MICHAEL WILLIS,WILLIS & COMPANY (INSURANCE BROKERS) LIMITED,NI032004,,,,BT1 2FH,Private Limited Company,Active,United Kingdom,66190 - Activities auxiliary to financial intermediation n.e.c.,66220 - Activities of insurance agents and brokers,,
Adler Fairways Insurance Brokers Limited t/as Adler Fairways,4525948,ADLER FAIRWAYS INSURANCE BROKERS LIMITED,ADLER FAIRWAYS INSURANCE BROKERS LIMITED,4525948,TUNBRIDGE WELLS,KENT,ENGLAND,TN4 8AS,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Towergate (Poole),4043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,4043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Corri Ltd,2288929,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),CORRI LIMITED,2288929,WOKING,,ENGLAND,GU23 7AN,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Allied Wessex Westinsure Ltd,4489781,ALLIED WESSEX WESTINSURE LIMITED,ALLIED WESSEX WESTINSURE LIMITED,4489781,SWINDON,,ENGLAND,SN6 6EH,Private Limited Company,Active,United Kingdom,66290 - Other activities auxiliary to insurance and pension funding,,,
PSP Insurance & Financial Solutions (Hedron Network) Chippenham,4616351,PSP INSURANCE & FINANCIAL SOLUTIONS LIMITED,PSP INSURANCE & FINANCIAL SOLUTIONS LIMITED,4616351,CHIPPENHAM,WILTSHIRE,,SN15 1EX,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
PIB Risk Services Ltd T/as PIB Insurance Brokers (Halifax),2682789,PIB RISK SERVICES LIMITED,PIB RISK SERVICES LIMITED,2682789,RETFORD,NOTTINGHAMSHIRE,,DN22 7SW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Watkin Davies Insurance Consultants,2102120,WATKIN DAVIES INSURANCE CONSULTANTS LIMITED,WATKIN DAVIES INSURANCE CONSULTANTS LIMITED,2102120,WITNEY,OXFORDSHIRE,ENGLAND,OX28 4LE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Scrutton Bland Insurance Brokers (Willis Network),11495277,SCRUTTON BLAND INSURANCE BROKERS LIMITED,SCRUTTON BLAND INSURANCE BROKERS LIMITED,11495277,COLCHESTER,,UNITED KINGDOM,CO4 9YQ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Peter Hattersley & Partners Ltd (Advantage),4095352,PETER HATTERSLEY & PARTNERS LIMITED,PETER HATTERSLEY & PARTNERS LIMITED,4095352,MACCLESFIELD,,ENGLAND,SK11 6DU,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Christopher Trigg Ltd (Hedron Network),1118999,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),CHRISTOPHER TRIGG LIMITED,1118999,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Rowlands & Hames Insurance Brokers,2195983,ROWLANDS & HAMES INSURANCE BROKERS LIMITED,ROWLANDS & HAMES INSURANCE BROKERS LIMITED,2195983,BLACKPOOL,LANCASHIRE,,FY2 0FP,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
H.J. Roelofs t a Bordengate Insurance (Willis Network),3464365,ROELOFS & CROMBAGHS ADVOCATEN LLP,H.J. ROELOFS (UK) LTD,3464365,FARINGDON,OXFORDSHIRE,,SN7 7HU,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
M S Macbeth (Hedron Network),3408293,BLUE BADGE MOBILITY INSURANCE BROKER SERVICES LIMITED,M.S. MACBETH LIMITED,3408293,RICHMOND,,UNITED KINGDOM,TW9 2JA,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
GPS Insurance Brokers (Hedron Network),6449227,GPS INSURANCE BROKERS LTD,GPS INSURANCE BROKERS LTD,6449227,LONDON,,,N3 1LF,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
A-Plan (High Wycombe),750484,AAA INSURANCE & REINSURANCE BROKERS LIMITED,A-PLAN HOLDINGS,750484,WITNEY,OXFORDSHIRE,,OX28 4LE,Private Unlimited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
W K Insurance Group (Cleo),SO301193,KELLIHER INSURANCE GROUP LIMITED,WK RISK SOLUTIONS LLP,SO301193,GLASGOW,,,G74 5PH,Limited Liability Partnership,Active,United Kingdom,None Supplied,,,
Henshalls Insurance Brokers,1285024,AAA INSURANCE & REINSURANCE BROKERS LIMITED,R. K. HENSHALL & CO. LIMITED,1285024,CREWE,CHESHIRE,,CW11 4RD,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Square Mile Insurance Services Ltd,3607262,SQUARE MILE INSURANCE SERVICES LIMITED,SQUARE MILE INSURANCE SERVICES LIMITED,3607262,LONDON,,ENGLAND,E15 4RG,Private Limited Company,Active,United Kingdom,64999 - Financial intermediation not elsewhere classified,,,
Marsh Commercial (Elgin),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Stackhouse High Wycombe),1193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,1193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
OLD DCJ Group Insurance & Risk Management Limited,2554999,DCJ GROUP INSURANCE & RISK MANAGEMENT LIMITED,DCJ GROUP INSURANCE & RISK MANAGEMENT LIMITED,2554999,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Saffron Insurance Services Limited (Premier),829892,SAFFRON INSURANCE SERVICES LIMITED,SAFFRON INSURANCE SERVICES LIMITED,829892,KNARESBOROUGH,ENGLAND,ENGLAND,HG5 8PJ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
MCM Insurance Services (Premier),2375124,MCMILLAN SERVICES INC,MCMORROW MURPHY HOLDINGS LIMITED,2375124,,,,HG5 8PJ,,,,,,,
Aston Lark Limited t/as Absolute Products Ltd,2831010,ABSOLUTE INSURANCE BROKERS LIMITED,ASTON LARK LIMITED,2831010,LONDON,,UNITED KINGDOM,EC3A 5AF,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
A.I.P.S (Advantage),11562220,AAA INSURANCE & REINSURANCE BROKERS LIMITED,AIP FINANCIAL SERVICES LIMITED,11562220,ERITH,,UNITED KINGDOM,DA8 3DR,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Towergate (Leeds),4043759,ARDONAGH ADVISORY HOLDINGS LIMITED,ADVISORY INSURANCE BROKERS LIMITED,4043759,LONDON,,UNITED KINGDOM,EC3R 7PD,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,66220 - Activities of insurance agents and brokers,
Thompson and Richardson Ltd (Sleaford) (Premier),3256886,THOMPSON & RICHARDSON INSURANCE SERVICES (LINCOLN) LIMITED,THOMPSON & RICHARDSON INSURANCE BROKERS (LINCOLN) LTD,3256886,,,,NG34 7RL,,,,,,,
PIB Risk Services Ltd T/as PIB Insurance Brokers (Brighouse),2682789,PIB RISK SERVICES LIMITED,PIB RISK SERVICES LIMITED,2682789,RETFORD,NOTTINGHAMSHIRE,,DN22 7SW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
PIB Risk Services Ltd T/as PIB Insurance Brokers (Gloucester),2682789,PIB RISK SERVICES LIMITED,PIB RISK SERVICES LIMITED,2682789,RETFORD,NOTTINGHAMSHIRE,,DN22 7SW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
*DO NOT USE* Green Insurance Brokers Limited t/a Reid Briggs OLD,2086969,,GREEN INSURANCE BROKERS LIMITED,2086969,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Grove & Dean Ltd tas Performance Direct (Advantage),1167043,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),GROVE & DEAN LIMITED,1167043,HORNCHURCH,ESSEX,ENGLAND,RM12 6JL,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Kelvin Smith (Insurance Brokers) Ltd,SC301532,KELVIN SMITH (INSURANCE BROKERS) LIMITED,KELVIN SMITH (INSURANCE BROKERS) LIMITED,SC301532,GLASGOW,,SCOTLAND,G4 9XA,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
County Insurance Consultants Ltd t/as Inspire Risk Management CANX,4787941,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD UK BRANCH,COUNTY INSURANCE CONSULTANTS LIMITED,4787941,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
PSP Insurance & Financial Solutions (Hedron Network) Saltash,4616351,PSP INSURANCE & FINANCIAL SOLUTIONS LIMITED,PSP INSURANCE & FINANCIAL SOLUTIONS LIMITED,4616351,CHIPPENHAM,WILTSHIRE,,SN15 1EX,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
Marsh Private Clients- Collectors scheme,3028313,UK COLLECTORS INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
